,AAPL
0,174.986
1,174.9
2,174.96
3,175.03
4,175.1
5,175.056
6,175.02
7,174.96
8,175.02
9,175.04
10,175.05
11,175.109
12,175.13
13,175.119
14,175.14
15,175.17
16,175.283
17,175.33
18,175.385
19,175.38
20,175.35
21,175.4
22,175.42
23,175.45
24,175.35
25,175.39
26,175.36
27,175.38
28,175.35
29,175.38
30,175.28
31,175.23
32,175.21
33,175.257
34,175.26
35,175.24
36,175.23
37,175.19
38,175.193
39,175.19
40,175.19
41,175.17
42,175.15
43,175.15
44,175.12
45,175.07
46,175.14
47,175.08
48,174.93
49,174.91
50,174.89
51,174.94
52,175.01
53,175.03
54,175.09
55,175.02
56,175.05
57,175.15
58,175.15
59,175.15
60,175.187
61,175.24
62,175.27
63,175.28
64,175.33
65,175.37
66,175.35
67,175.35
68,175.44
69,175.45
70,175.48
71,175.45
72,175.42
73,175.43
74,175.42
75,175.42
76,175.36
77,175.41
78,175.33
79,175.33
80,175.33
81,175.3
82,175.22
83,175.17
84,175.165
85,175.185
86,175.07
87,175.09
88,175.038
89,175.02
90,175.03
91,175
92,175.135
93,175.11
94,175.13
95,175.1
96,175.12
97,175.07
98,175.11
99,175.15
100,175.24
101,175.2
102,175.22
103,175.28
104,175.26
105,175.26
106,175.27
107,175.31
108,175.29
109,175.26
110,175.141
111,175.17
112,175.16
113,175.22
114,175.14
115,175.23
116,175.182
117,175.14
118,175.13
119,175.15
120,175.15
121,175.1
122,175.07
123,175.13
124,175.08
125,175.1
126,175.091
127,175.08
128,175.07
129,175.1
130,175.081
131,175.1
132,175.173
133,175.09
134,175.13
135,175.16
136,175.17
137,175.2
138,175.17
139,175.18
140,175.18
141,175.16
142,175.19
143,175.225
144,175.2
145,175.17
146,175.08
147,175.12
148,175.2
149,175.15
150,175.17
151,175.16
152,175.12
153,175.1
154,175.16
155,175.12
156,175.11
157,175.06
158,175.07
159,175.07
160,175.064
161,175.06
162,175.04
163,175.046
164,175.033
165,175.08
166,175.145
167,175.15
168,175.24
169,175.28
170,175.27
171,175.28
172,175.39
173,175.387
174,175.446
175,175.42
176,175.33
177,175.35
178,175.43
179,175.479
180,175.45
181,175.42
182,175.415
183,175.377
184,175.435
185,175.43
186,175.424
187,175.37
188,175.37
189,175.4
190,175.35
191,175.33
192,175.28
193,175.215
194,175.25
195,175.27
196,175.26
197,175.28
198,175.26
199,175.27
200,175.3
201,175.31
202,175.31
203,175.335
204,175.256
205,175.29
206,175.245
207,175.26
208,175.252
209,175.24
210,175.2
211,175.15
212,175.15
213,175.13
214,175.1
215,175.057
216,175.08
217,175.096
218,175.156
219,175.16
220,175.15
221,175.18
222,175.151
223,175.18
224,175.2
225,175.19
226,175.217
227,175.19
228,175.185
229,175.23
230,175.268
231,175.26
232,175.26
233,175.27
234,175.26
235,175.313
236,175.23
237,175.23
238,175.26
239,175.22
240,175.21
241,175.16
242,175.185
243,175.18
244,175.14
245,175.15
246,175.134
247,175.19
248,175.14
249,175.16
250,175.15
251,175.17
252,175.126
253,175.14
254,175.135
255,175.16
256,175.15
257,175.15
258,175.14
259,175.154
260,175.16
261,175.17
262,175.1
263,175.09
264,175.125
265,175.13
266,175.14
267,175.12
268,175.14
269,175.165
270,175.171
271,175.17
272,175.19
273,175.18
274,175.18
275,175.18
276,175.175
277,175.2
278,175.185
279,175.17
280,175.15
281,175.164
282,175.19
283,175.19
284,175.185
285,175.175
286,175.18
287,175.15
288,175.14
289,175.06
290,175.05
291,175.04
292,175.05
293,175
294,174.92
295,174.84
296,174.958
297,174.98
298,175.014
299,174.99
300,174.992
301,174.994
302,174.99
303,174.96
304,174.97
305,174.948
306,174.905
307,174.93
308,174.96
309,174.99
310,174.98
311,175.015
312,175.02
313,174.97
314,174.96
315,175.02
316,175.03
317,175.03
318,175.06
319,175.07
320,175.03
321,175.088
322,175.08
323,175.1
324,175.07
325,175.1
326,175.14
327,175.13
328,175.11
329,175.125
330,175.1
331,175.1
332,175.1
333,175.1
334,175.1
335,175.11
336,175.073
337,175.078
338,175.08
339,175.089
340,175.095
341,175.08
342,175.01
343,175.035
344,175.05
345,175.065
346,175.08
347,175.1
348,175.07
349,175.096
350,175.08
351,175.1
352,175.11
353,175.115
354,175.08
355,175.115
356,175.115
357,175.105
358,175.11
359,175.115
360,175.127
361,175.125
362,175.125
363,175.125
364,175.124
365,175.11
366,175.11
367,175.12
368,175.02
369,175.04
370,174.99
371,174.92
372,174.86
373,174.98
374,174.98
375,174.981
376,175.05
377,175.02
378,175.025
379,175.005
380,175.02
381,174.98
382,174.899
383,175.013
384,175.008
