,PFE
523,46.27
524,46.26
525,46.2733
526,46.26
527,46.26
528,46.28
529,46.28
530,46.28
531,46.2601
532,46.275
533,46.2704
534,46.275
535,46.28
536,46.3032
537,46.2933
538,46.28
539,46.3
540,46.29
541,46.28
542,46.28
543,46.285
544,46.29
545,46.295
546,46.295
547,46.29
548,46.295
549,46.295
550,46.285
551,46.2802
552,46.28
553,46.28
554,46.275
555,46.25
556,46.26
557,46.255
558,46.25
559,46.24
560,46.24
561,46.24
562,46.2332
563,46.225
564,46.205
565,46.2
566,46.195
567,46.195
568,46.195
569,46.17
570,46.18
571,46.17
572,46.175
573,46.185
574,46.195
575,46.191
576,46.19
577,46.1912
578,46.195
579,46.195
580,46.203
581,46.2
582,46.19
583,46.185
584,46.1872
585,46.18
586,46.195
587,46.195
588,46.2
589,46.195
590,46.195
591,46.195
592,46.1933
593,46.2
594,46.19
595,46.195
596,46.185
597,46.175
598,46.175
599,46.18
600,46.18
601,46.17
602,46.18
603,46.165
604,46.165
605,46.165
606,46.18
607,46.19
608,46.19
609,46.205
610,46.2
611,46.19
612,46.195
613,46.205
614,46.2009
615,46.22
616,46.23
617,46.23
618,46.24
619,46.24
620,46.25
621,46.255
622,46.2557
623,46.26
624,46.27
625,46.265
626,46.27
627,46.29
628,46.295
629,46.29
630,46.2978
631,46.31
632,46.29
633,46.29
634,46.29
635,46.295
636,46.3
637,46.34
638,46.33
639,46.3
640,46.3
641,46.29
642,46.29
643,46.295
644,46.31
645,46.32
646,46.31
647,46.315
648,46.32
649,46.315
650,46.32
651,46.34
652,46.33
653,46.33
654,46.325
655,46.32
656,46.315
657,46.31
658,46.29
659,46.28
660,46.28
661,46.28
662,46.29
663,46.28
664,46.28
665,46.2852
666,46.27
667,46.255
668,46.26
669,46.26
670,46.27
671,46.27
672,46.265
673,46.29
674,46.29
675,46.3
676,46.31
677,46.3
678,46.3
679,46.29
680,46.2854
681,46.29
682,46.28
683,46.28
684,46.27
685,46.275
686,46.29
687,46.2801
688,46.285
689,46.29
690,46.29
691,46.31
692,46.325
693,46.35
694,46.35
695,46.36
696,46.38
697,46.3771
698,46.35
699,46.35
700,46.36
701,46.35
702,46.3421
703,46.35
704,46.335
705,46.34
706,46.36
707,46.3555
708,46.36
709,46.3542
710,46.3467
711,46.35
712,46.35
713,46.35
714,46.36
715,46.36
716,46.361
717,46.372
718,46.36
719,46.36
720,46.37
721,46.38
722,46.3799
723,46.38
724,46.39
725,46.39
726,46.39
727,46.39
728,46.39
729,46.4
730,46.42
731,46.43
732,46.45
733,46.46
734,46.44
735,46.43
736,46.42
737,46.4134
738,46.4047
739,46.43
740,46.43
741,46.44
742,46.42
743,46.4
744,46.4
745,46.397
746,46.38
747,46.375
748,46.37
749,46.37
750,46.36
751,46.3637
752,46.365
753,46.355
754,46.35
755,46.34
756,46.34
757,46.35
758,46.3845
759,46.365
760,46.375
761,46.37
762,46.3622
763,46.37
764,46.37
765,46.36
766,46.37
767,46.36
768,46.36
769,46.36
770,46.3679
771,46.36
772,46.365
773,46.37
774,46.37
775,46.36
776,46.37
777,46.38
778,46.37
779,46.375
780,46.38
781,46.39
782,46.4
783,46.41
784,46.4047
785,46.4
786,46.4
787,46.4
788,46.39
789,46.37
790,46.36
791,46.36
792,46.36
793,46.36
794,46.35
795,46.34
796,46.34
797,46.34
798,46.35
799,46.36
800,46.35
801,46.35
802,46.355
803,46.34
804,46.33
805,46.33
806,46.32
807,46.32
808,46.31
809,46.31
810,46.3
811,46.31
812,46.315
813,46.327
814,46.34
815,46.34
816,46.345
817,46.34
818,46.345
819,46.33
820,46.33
821,46.31
822,46.31
823,46.3
824,46.295
825,46.285
826,46.2812
827,46.2842
828,46.275
829,46.3
830,46.31
831,46.295
832,46.29
833,46.285
834,46.29
835,46.3
836,46.26
837,46.25
838,46.255
839,46.25
840,46.26
841,46.26
842,46.265
843,46.2896
844,46.28
845,46.28
846,46.27
847,46.26
848,46.245
849,46.23
850,46.22
851,46.22
852,46.22
853,46.22
854,46.2
855,46.21
856,46.205
857,46.22
858,46.22
859,46.22
860,46.23
861,46.235
862,46.25
863,46.24
864,46.2344
865,46.24
866,46.215
867,46.21
868,46.2
869,46.2
870,46.1966
871,46.18
872,46.15
873,46.16
874,46.16
875,46.16
876,46.16
877,46.16
878,46.16
879,46.14
880,46.13
881,46.13
882,46.1
883,46.1
884,46.09
885,46.1
886,46.11
887,46.09
888,46.07
889,46.0615
890,46.08
891,46.0316
892,45.99
893,46.05
894,46.04
895,46.01
896,45.95
897,45.96
898,45.985
899,46.02
900,46.02
901,46.02
902,46
903,45.98
904,46
905,46.02
906,46.03
907,46.02
908,46.01
909,45.98
910,45.97
911,45.97
912,45.995
913,45.98
914,45.99
915,45.99
916,46.01
917,46.015
918,46
919,45.99
920,46.0835
921,46.01
922,46.01
923,46.0143
924,46.005
925,46.0106
926,46.01
927,45.99
928,45.97
929,45.95
930,45.94
931,45.96
932,45.95
933,45.9534
934,45.95
935,45.92
936,45.91
937,45.88
938,45.88
939,45.86
940,45.88
941,45.87
942,45.91
943,45.91
944,45.94
945,45.95
946,45.93
947,45.93
948,45.93
949,45.93
950,45.95
951,45.96
952,45.9
953,45.92
954,45.91
955,45.93
956,45.91
957,45.91
958,45.9
959,45.9
960,45.89
961,45.87
962,45.874
963,45.89
964,45.9
965,45.885
966,45.86
967,45.8653
968,45.8765
969,45.8765
970,45.8756
971,45.87
972,45.87
973,45.88
974,45.88
975,45.86
976,45.87
977,45.87
978,45.85
979,45.84
980,45.83
981,45.84
982,45.85
983,45.865
984,45.87
985,45.86
986,45.86
987,45.83
988,45.84
989,45.85
990,45.85
991,45.86
992,45.855
993,45.82
994,45.79
995,45.79
996,45.815
997,45.83
998,45.82
999,45.8
1000,45.805
1001,45.795
1002,45.83
1003,45.815
1004,45.82
1005,45.81
1006,45.8126
1007,45.8299
1008,45.815
1009,45.825
1010,45.86
1011,45.87
1012,45.89
1013,45.86
1014,45.855
1015,45.85
1016,45.84
1017,45.8267
1018,45.83
1019,45.8
1020,45.78
1021,45.81
1022,45.78
1023,45.76
1024,45.77
1025,45.73
1026,45.7067
1027,45.69
1028,45.71
1029,45.69
1030,45.69
1031,45.7
1032,45.69
1033,45.69
1034,45.683
1035,45.663
1036,45.62
1037,45.63
1038,45.65
1039,45.59
1040,45.59
1041,45.64
1042,45.64
1043,45.65
1044,45.65
1045,45.67
1046,45.68
1047,45.7
1048,45.6801
1049,45.73
1050,45.71
1051,45.72
1052,45.72
1053,45.74
1054,45.75
1055,45.725
1056,45.72
1057,45.72
1058,45.71
1059,45.7
1060,45.71
1061,45.715
1062,45.73
1063,45.71
1064,45.7
1065,45.69
1066,45.71
1067,45.72
1068,45.73
1069,45.775
1070,45.75
1071,45.77
1072,45.74
1073,45.75
1074,45.76
1075,45.75
1076,45.7653
1077,45.77
1078,45.79
1079,45.75
1080,45.74
1081,45.745
1082,45.74
1083,45.72
1084,45.74
1085,45.73
1086,45.74
1087,45.749
1088,45.77
1089,45.78
1090,45.77
1091,45.7846
1092,45.78
1093,45.7843
1094,45.78
1095,45.8
1096,45.79
1097,45.765
1098,45.75
1099,45.76
1100,45.7647
1101,45.74
1102,45.75
1103,45.75
1104,45.76
1105,45.77
1106,45.77
1107,45.79
1108,45.81
1109,45.8
1110,45.79
1111,45.78
1112,45.78
1113,45.76
1114,45.7706
1115,45.8
1116,45.79
1117,45.78
1118,45.76
1119,45.75
1120,45.76
1121,45.77
1122,45.79
1123,45.7816
1124,45.7606
1125,45.76
1126,45.73
1127,45.74
1128,45.77
1129,45.785
1130,45.79
1131,45.78
1132,45.78
1133,45.78
1134,45.78
1135,45.7662
1136,45.73
1137,45.74
1138,45.75
1139,45.75
1140,45.7401
1141,45.74
1142,45.7425
1143,45.71
1144,45.73
1145,45.76
1146,45.75
1147,45.7492
1148,45.73
1149,45.74
1150,45.76
1151,45.76
1152,45.74
1153,45.73
1154,45.73
1155,45.74
1156,45.74
1157,45.75
1158,45.74
1159,45.74
1160,45.73
1161,45.7376
1162,45.73
1163,45.75
1164,45.7498
1165,45.75
1166,45.73
1167,45.75
1168,45.7304
1169,45.7201
1170,45.7
1171,45.68
1172,45.71
1173,45.73
1174,45.7311
1175,45.735
1176,45.735
1177,45.73
1178,45.76
1179,45.76
1180,45.76
