,AAPL
535,170.459
536,170.34
537,170.25
538,170.3
539,170.3
540,170.31
541,170.23
542,170.12
543,170.03
544,170.05
545,169.97
546,169.9
547,169.958
548,169.9
549,169.83
550,169.8
551,169.78
552,169.777
553,169.937
554,170.06
555,170.04
556,170.03
557,169.99
558,170.08
559,170.077
560,170.08
561,170.03
562,170.01
563,170.02
564,170.073
565,170.13
566,170.18
567,170.07
568,170.04
569,170.115
570,170.12
571,170.06
572,170.04
573,170.096
574,170.099
575,170.15
576,170.229
577,170.29
578,170.37
579,170.36
580,170.42
581,170.32
582,170.334
583,170.33
584,170.3
585,170.385
586,170.37
587,170.402
588,170.36
589,170.32
590,170.33
591,170.344
592,170.402
593,170.49
594,170.57
595,170.6
596,170.62
597,170.643
598,170.631
599,170.67
600,170.61
601,170.6
602,170.7
603,170.68
604,170.71
605,170.6
606,170.6
607,170.73
608,170.67
609,170.74
610,170.76
611,170.74
612,170.71
613,170.78
614,170.75
615,170.71
616,170.689
617,170.63
618,170.6
619,170.63
620,170.58
621,170.5
622,170.52
623,170.52
624,170.65
625,170.634
626,170.58
627,170.59
628,170.73
629,170.8
630,170.8
631,170.82
632,170.76
633,170.7
634,170.67
635,170.64
636,170.47
637,170.54
638,170.482
639,170.47
640,170.42
641,170.39
642,170.37
643,170.53
644,170.44
645,170.54
646,170.61
647,170.66
648,170.72
649,170.71
650,170.75
651,170.71
652,170.74
653,170.755
654,170.742
655,170.69
656,170.68
657,170.62
658,170.66
659,170.645
660,170.595
661,170.54
662,170.504
663,170.41
664,170.33
665,170.39
666,170.386
667,170.488
668,170.475
669,170.53
670,170.47
671,170.47
672,170.38
673,170.26
674,170.28
675,170.22
676,170.2
677,170.17
678,170.3
679,170.23
680,170.24
681,170.27
682,170.24
683,170.2
684,170.3
685,170.4
686,170.48
687,170.525
688,170.64
689,170.6
690,170.562
691,170.615
692,170.59
693,170.56
694,170.58
695,170.62
696,170.55
697,170.55
698,170.44
699,170.39
700,170.38
701,170.49
702,170.48
703,170.44
704,170.46
705,170.47
706,170.56
707,170.6
708,170.56
709,170.61
710,170.61
711,170.59
712,170.54
713,170.59
714,170.552
715,170.57
716,170.572
717,170.73
718,170.713
719,170.691
720,170.62
721,170.62
722,170.61
723,170.59
724,170.69
725,170.68
726,170.768
727,170.72
728,170.71
729,170.75
730,170.74
731,170.73
732,170.67
733,170.67
734,170.71
735,170.73
736,170.71
737,170.62
738,170.62
739,170.65
740,170.62
741,170.69
742,170.73
743,170.69
744,170.6
745,170.66
746,170.71
747,170.75
748,170.7
749,170.75
750,170.83
751,170.84
752,170.84
753,170.82
754,170.76
755,170.77
756,170.753
757,170.747
758,170.68
759,170.75
760,170.86
761,170.925
762,170.92
763,170.92
764,170.95
765,170.9
766,170.88
767,170.84
768,170.834
769,170.86
770,170.95
771,170.936
772,170.9
773,170.91
774,170.9
775,170.92
776,170.886
777,170.971
778,171
779,171.003
