,PFE
0,36.55
1,36.55
2,36.54
3,36.55
4,36.545
5,36.56
6,36.57
7,36.57
8,36.56
9,36.57
10,36.565
11,36.545
12,36.53
13,36.535
14,36.54
15,36.525
16,36.53
17,36.53
18,36.53
19,36.51
20,36.495
21,36.5
22,36.49
23,36.49
24,36.52
25,36.53
26,36.52
27,36.525
28,36.52
29,36.52
30,36.525
31,36.51
32,36.52
33,36.525
34,36.527
35,36.54
36,36.505
37,36.5
38,36.5
39,36.5
40,36.51
41,36.5085
42,36.505
43,36.505
44,36.5
45,36.495
46,36.5
47,36.51
48,36.525
49,36.49
50,36.5
51,36.5
52,36.51
53,36.515
54,36.5201
55,36.51
56,36.515
57,36.52
58,36.515
59,36.515
60,36.515
61,36.52
62,36.49
63,36.495
64,36.495
65,36.47
66,36.47
67,36.485
68,36.48
69,36.49
70,36.5
71,36.499
72,36.51
73,36.51
74,36.515
75,36.515
76,36.505
77,36.505
78,36.505
79,36.505
80,36.51
81,36.48
82,36.48
83,36.49
84,36.5
85,36.4939
86,36.505
87,36.5084
88,36.505
89,36.505
90,36.503
91,36.5
92,36.5
93,36.495
94,36.49
95,36.5
96,36.5075
97,36.505
98,36.5
99,36.5
100,36.503
101,36.505
102,36.505
103,36.5033
104,36.505
105,36.5069
106,36.5007
107,36.505
108,36.5001
109,36.505
110,36.505
111,36.485
112,36.485
113,36.5
114,36.4967
115,36.5
116,36.495
117,36.4966
118,36.49
119,36.4971
120,36.5
121,36.5031
122,36.505
123,36.51
124,36.5031
125,36.515
126,36.52
127,36.51
128,36.5175
129,36.53
130,36.525
131,36.525
132,36.525
133,36.5268
134,36.53
135,36.525
136,36.5037
137,36.525
138,36.53
139,36.535
140,36.5362
141,36.54
142,36.5243
143,36.525
144,36.5295
145,36.525
146,36.5201
147,36.53
148,36.5299
149,36.53
150,36.525
151,36.525
152,36.52
153,36.53
154,36.525
155,36.53
156,36.54
157,36.55
158,36.545
159,36.55
160,36.545
161,36.55
162,36.555
163,36.55
164,36.56
165,36.555
166,36.53
167,36.52
168,36.53
169,36.53
170,36.53
171,36.55
172,36.549
173,36.54
174,36.55
175,36.54
176,36.54
177,36.54
178,36.55
179,36.53
180,36.53
181,36.53
182,36.525
183,36.52
184,36.515
185,36.52
186,36.5193
187,36.5091
188,36.4962
189,36.49
190,36.4988
191,36.495
192,36.495
193,36.49
194,36.495
195,36.495
196,36.504
197,36.505
198,36.5
199,36.5
200,36.5
201,36.505
202,36.505
203,36.5052
204,36.5052
205,36.5038
206,36.505
207,36.5
208,36.5
209,36.5
210,36.5
211,36.505
212,36.5
213,36.495
214,36.5
215,36.5
216,36.49
217,36.5
218,36.4962
219,36.495
220,36.5
221,36.5
222,36.5
223,36.495
224,36.49
225,36.4893
226,36.49
227,36.4848
228,36.485
229,36.49
230,36.49
231,36.48
232,36.485
233,36.49
234,36.47
235,36.465
236,36.46
237,36.46
238,36.45
239,36.456
240,36.45
241,36.45
242,36.45
243,36.455
244,36.46
245,36.46
246,36.46
247,36.465
248,36.46
249,36.4638
250,36.465
251,36.465
252,36.46
253,36.46
254,36.46
255,36.455
256,36.455
257,36.46
258,36.465
259,36.47
260,36.47
261,36.4601
262,36.4662
263,36.4601
264,36.465
265,36.46
266,36.465
267,36.465
268,36.46
269,36.465
270,36.465
271,36.465
272,36.47
273,36.465
274,36.47
275,36.465
276,36.465
277,36.47
278,36.4645
279,36.465
280,36.47
281,36.45
282,36.4558
283,36.4501
284,36.46
285,36.455
286,36.455
287,36.45
288,36.45
289,36.455
290,36.455
291,36.45
292,36.45
293,36.45
294,36.455
295,36.455
296,36.455
297,36.465
298,36.473
299,36.48
300,36.49
301,36.49
302,36.4901
303,36.4999
304,36.4961
305,36.49
306,36.49
307,36.4952
308,36.495
309,36.495
310,36.485
311,36.48
312,36.48
313,36.475
314,36.47
315,36.46
316,36.46
317,36.46
318,36.45
319,36.45
320,36.455
321,36.45
322,36.46
323,36.47
324,36.47
325,36.46
326,36.47
327,36.4668
328,36.46
329,36.465
330,36.475
331,36.47
332,36.475
333,36.475
334,36.475
335,36.475
336,36.49
337,36.49
338,36.495
339,36.495
340,36.5
341,36.4975
342,36.5
343,36.495
344,36.495
345,36.49
346,36.495
347,36.495
348,36.495
349,36.495
350,36.49
351,36.5
352,36.48
353,36.48
354,36.48
355,36.475
356,36.48
357,36.48
358,36.475
359,36.4799
360,36.475
361,36.4769
362,36.48
363,36.47
364,36.47
365,36.465
366,36.465
367,36.465
368,36.465
369,36.4653
370,36.465
371,36.455
372,36.455
373,36.455
374,36.4585
375,36.455
376,36.455
377,36.455
378,36.451
379,36.455
380,36.46
381,36.455
382,36.455
383,36.455
384,36.46
385,36.45
386,36.4809
387,36.45
388,36.4538
389,36.45
390,36.45
391,36.45
392,36.45
393,36.44
394,36.445
395,36.445
396,36.45
397,36.445
398,36.4498
399,36.44
400,36.445
401,36.45
402,36.445
403,36.44
404,36.45
405,36.445
406,36.445
407,36.445
408,36.45
409,36.45
410,36.45
411,36.45
412,36.445
413,36.4464
414,36.44
415,36.445
416,36.445
417,36.45
418,36.445
419,36.445
420,36.44
421,36.445
422,36.44
423,36.445
424,36.435
425,36.44
426,36.435
427,36.44
428,36.445
429,36.4446
430,36.445
431,36.443
432,36.455
433,36.46
434,36.46
435,36.475
436,36.4737
437,36.475
438,36.4738
439,36.48
440,36.48
441,36.4753
442,36.475
443,36.475
444,36.4799
445,36.475
446,36.475
447,36.475
448,36.48
449,36.47
450,36.47
451,36.47
452,36.47
453,36.47
454,36.475
455,36.47
456,36.47
457,36.4662
458,36.4999
459,36.46
460,36.4638
461,36.465
462,36.4647
463,36.465
464,36.48
465,36.475
466,36.4753
467,36.4747
468,36.495
469,36.495
470,36.49
471,36.49
472,36.4733
473,36.4999
474,36.495
475,36.495
476,36.49
477,36.4963
478,36.4985
479,36.495
480,36.49
481,36.49
482,36.495
483,36.495
484,36.495
485,36.49
486,36.49
487,36.49
488,36.5
489,36.49
490,36.4938
491,36.48
492,36.4847
493,36.4834
494,36.485
495,36.48
496,36.485
497,36.48
498,36.48
499,36.47
500,36.47
501,36.48
502,36.475
503,36.475
504,36.4769
505,36.47
506,36.475
507,36.475
508,36.47
509,36.47
510,36.47
511,36.477
512,36.48
513,36.47
514,36.465
515,36.46
516,36.46
517,36.46
518,36.465
519,36.465
520,36.465
521,36.46
522,36.46
523,36.455
524,36.46
525,36.48
526,36.48
527,36.48
528,36.48
529,36.4862
530,36.49
531,36.49
532,36.495
533,36.5
534,36.495
535,36.495
536,36.495
537,36.495
538,36.48
539,36.4847
540,36.49
541,36.49
542,36.4884
543,36.49
544,36.48
545,36.49
546,36.49
547,36.485
548,36.4801
549,36.485
550,36.485
551,36.48
552,36.485
553,36.485
554,36.48
555,36.4801
556,36.49
557,36.48
558,36.48
559,36.485
560,36.47
561,36.47
562,36.48
563,36.475
564,36.47
565,36.47
566,36.47
567,36.47
568,36.4766
569,36.475
570,36.48
571,36.485
572,36.48
573,36.485
574,36.4864
575,36.485
576,36.48
577,36.485
578,36.49
579,36.48
580,36.475
581,36.475
582,36.4796
583,36.475
584,36.48
585,36.47
586,36.475
587,36.475
588,36.4701
589,36.47
590,36.47
591,36.475
592,36.47
593,36.475
594,36.47
595,36.47
596,36.47
597,36.475
598,36.4792
599,36.47
600,36.47
601,36.475
602,36.475
603,36.48
604,36.467
605,36.46
606,36.465
607,36.4669
608,36.46
609,36.46
610,36.44
611,36.44
612,36.445
613,36.445
614,36.44
615,36.445
616,36.44
617,36.45
618,36.44
619,36.45
620,36.455
621,36.455
622,36.46
623,36.46
624,36.45
625,36.44
626,36.4482
627,36.45
628,36.44
629,36.44
630,36.4447
631,36.45
632,36.45
633,36.45
634,36.45
635,36.46
636,36.455
637,36.455
638,36.45
639,36.4445
640,36.45
641,36.445
642,36.44
643,36.445
644,36.445
645,36.45
646,36.445
647,36.44
648,36.435
649,36.45
650,36.445
651,36.4453
652,36.445
653,36.44
654,36.455
655,36.46
656,36.465
657,36.465
658,36.465
659,36.47
660,36.465
661,36.476
662,36.48
663,36.48
664,36.4802
665,36.48
666,36.485
667,36.49
668,36.49
669,36.48
670,36.48
671,36.47
672,36.48
673,36.475
674,36.4715
675,36.475
676,36.47
677,36.469
678,36.4656
679,36.47
680,36.48
681,36.49
682,36.48
683,36.475
684,36.475
685,36.475
686,36.4798
687,36.47
688,36.47
689,36.465
690,36.46
691,36.46
692,36.46
693,36.46
694,36.4647
695,36.46
696,36.46
697,36.455
698,36.45
699,36.45
700,36.45
701,36.45
702,36.45
703,36.44
704,36.44
705,36.448
706,36.445
707,36.44
708,36.45
709,36.44
710,36.445
711,36.45
712,36.46
713,36.46
714,36.45
715,36.45
716,36.455
717,36.46
718,36.455
719,36.455
720,36.46
721,36.4509
722,36.46
723,36.45
724,36.455
725,36.455
726,36.45
727,36.455
728,36.4501
729,36.4568
730,36.455
731,36.458
732,36.46
733,36.455
734,36.4558
735,36.45
736,36.45
737,36.45
738,36.455
739,36.45
740,36.45
741,36.455
742,36.46
743,36.455
744,36.46
745,36.455
746,36.455
747,36.45
748,36.45
749,36.455
750,36.45
751,36.455
752,36.4538
753,36.455
754,36.45
755,36.4547
756,36.4545
757,36.45
758,36.455
759,36.455
760,36.455
761,36.45
762,36.455
763,36.46
764,36.44
765,36.445
766,36.445
767,36.445
768,36.45
769,36.445
770,36.4474
771,36.445
772,36.44
773,36.44
774,36.44
775,36.44
776,36.44
777,36.44
778,36.44
779,36.435
780,36.43
781,36.43
782,36.42
783,36.43
784,36.425
785,36.4252
786,36.43
787,36.42
788,36.425
789,36.4233
790,36.42
791,36.4266
792,36.4334
793,36.4334
794,36.43
795,36.43
796,36.44
797,36.445
798,36.445
799,36.44
800,36.445
801,36.445
802,36.45
803,36.45
804,36.445
805,36.44
806,36.44
807,36.44
808,36.445
809,36.4348
810,36.44
811,36.44
812,36.4402
813,36.435
814,36.435
815,36.439
816,36.435
817,36.43
818,36.439
819,36.44
820,36.43
821,36.43
822,36.43
823,36.4357
824,36.435
825,36.435
826,36.435
827,36.4301
828,36.43
829,36.43
830,36.44
831,36.43
832,36.44
833,36.45
834,36.455
835,36.46
836,36.455
837,36.455
838,36.455
839,36.46
840,36.455
841,36.455
842,36.455
843,36.455
844,36.45
845,36.44
846,36.44
847,36.45
848,36.44
849,36.45
850,36.43
851,36.435
852,36.44
853,36.445
854,36.445
855,36.44
856,36.445
857,36.44
858,36.45
859,36.4452
860,36.445
861,36.445
862,36.445
863,36.45
864,36.45
865,36.4442
866,36.44
867,36.445
868,36.4453
869,36.445
870,36.445
871,36.445
872,36.45
873,36.445
874,36.44
875,36.4472
876,36.4438
877,36.445
878,36.4457
879,36.44
880,36.44
881,36.446
882,36.445
883,36.45
884,36.445
885,36.445
886,36.445
