,KO
526,50.335
527,50.33
528,50.33
529,50.335
530,50.3436
531,50.345
532,50.345
533,50.36
534,50.37
535,50.36
536,50.365
537,50.39
538,50.375
539,50.38
540,50.375
541,50.375
542,50.38
543,50.37
544,50.365
545,50.365
546,50.36
547,50.35
548,50.35
549,50.365
550,50.3664
551,50.365
552,50.37
553,50.365
554,50.3731
555,50.375
556,50.37
557,50.39
558,50.395
559,50.39
560,50.39
561,50.395
562,50.3999
563,50.415
564,50.41
565,50.41
566,50.4
567,50.3841
568,50.405
569,50.4
570,50.41
571,50.42
572,50.42
573,50.425
574,50.425
575,50.42
576,50.4233
577,50.425
578,50.425
579,50.42
580,50.425
581,50.405
582,50.41
583,50.415
584,50.42
585,50.415
586,50.415
587,50.4
588,50.4035
589,50.405
590,50.41
591,50.4
592,50.38
593,50.4
594,50.395
595,50.385
596,50.38
597,50.3701
598,50.37
599,50.375
600,50.37
601,50.37
602,50.37
603,50.37
604,50.385
605,50.4
606,50.405
607,50.405
608,50.415
609,50.415
610,50.4
611,50.39
612,50.39
613,50.395
614,50.4
615,50.4
616,50.4
617,50.395
618,50.395
619,50.395
620,50.395
621,50.395
622,50.395
623,50.41
624,50.41
625,50.42
626,50.425
627,50.42
628,50.415
629,50.4264
630,50.44
631,50.44
632,50.435
633,50.44
634,50.45
635,50.475
636,50.45
637,50.45
638,50.445
639,50.45
640,50.46
641,50.47
642,50.47
643,50.46
644,50.47
645,50.46
646,50.4657
647,50.475
648,50.47
649,50.475
650,50.475
651,50.48
652,50.4746
653,50.47
654,50.47
655,50.48
656,50.4799
657,50.465
658,50.48
659,50.475
660,50.49
661,50.495
662,50.495
663,50.49
664,50.49
665,50.495
666,50.49
667,50.49
668,50.49
669,50.5
670,50.49
671,50.48
672,50.48
673,50.49
674,50.49
675,50.49
676,50.5
677,50.495
678,50.49
679,50.49
680,50.4859
681,50.47
682,50.465
683,50.465
684,50.465
685,50.48
686,50.475
687,50.49
688,50.485
689,50.485
690,50.495
691,50.495
692,50.49
693,50.5
694,50.5
695,50.495
696,50.5
697,50.495
698,50.51
699,50.51
700,50.505
701,50.505
702,50.5
703,50.495
704,50.5
