,Time,BA_spread,Price,Smart_price,Liquid_imb,MKT_cost
row,2019-04-19 22:41:25.384698,0.01999999999999602,58.85,58.84872727272728,0.04,0.0
row,2019-04-19 22:41:25.401342,0.01999999999999602,58.85,58.84872727272728,0.04,0.0
row,2019-04-19 22:41:25.418917,0.00999999999999801,58.83,58.82625,0.056,0.0
row,2019-04-19 22:41:25.445319,0.010000000000005116,58.84,58.83307692307692,0.053,0.0
row,2019-04-19 22:41:35.528804,0.00999999999999801,58.86,58.850512820512826,0.066,0.0
row,2019-04-19 22:41:35.535742,0.00999999999999801,58.86,58.869375,0.003,0.0
row,2019-04-19 22:41:35.542693,0.010000000000005116,58.8737,58.87076923076923,0.014,0.0
row,2019-04-19 22:41:35.549431,0.010000000000005116,58.8737,58.87076923076923,0.014,0.0
row,2019-04-19 22:41:35.556120,0.010000000000005116,58.8737,58.87076923076923,0.014,0.0
row,2019-04-19 22:41:35.563118,0.010000000000005116,58.8737,58.87076923076923,0.014,0.0
row,2019-04-19 22:41:35.570088,0.020000000000003126,58.8737,58.875,-0.014,0.0
row,2019-04-19 22:41:35.576765,0.01999999999999602,58.8737,58.88260869565218,-0.017,0.0
row,2019-04-19 22:41:35.583726,0.00999999999999801,58.86,58.86730769230769,-0.005,0.0
row,2019-04-19 22:41:35.590740,0.00999999999999801,58.86,58.86730769230769,-0.005,0.0
row,2019-04-19 22:41:45.619553,0.00999999999999801,58.86,58.86730769230769,-0.005,-0.0006663199999999847
row,2019-04-19 22:41:45.626148,0.00999999999999801,58.87,58.8674074074074,-0.006,-0.0006663199999999847
row,2019-04-19 22:41:45.633124,0.00999999999999801,58.87,58.8675,-0.007,-0.0006663199999999847
row,2019-04-19 22:41:45.639904,0.00999999999999801,58.87,58.8675,-0.007,-0.0006663199999999847
row,2019-04-19 22:41:45.651656,0.00999999999999801,58.87,58.8675,-0.007,-0.0006663199999999847
row,2019-04-19 22:41:45.659254,0.00999999999999801,58.86,58.85708333333333,0.016,-0.000666199999999975
row,2019-04-19 22:41:45.666444,0.00999999999999801,58.86,58.86176470588235,0.013,-0.0006663199999999847
row,2019-04-19 22:41:45.673917,0.030000000000001137,58.86,58.87222222222222,-0.014,-0.0005864399999999818
row,2019-04-19 22:41:45.681450,0.030000000000001137,58.86,58.872307692307686,-0.015,-0.0005864399999999818
row,2019-04-19 22:41:45.688318,0.030000000000001137,58.86,58.88384615384616,-0.029,-0.0005864399999999818
row,2019-04-19 22:41:55.716136,0.030000000000001137,58.9,58.881379310344826,-0.024,0.0005864399999999818
row,2019-04-19 22:41:55.722978,0.020000000000003126,58.87,58.876,-0.013,0.0006164399999999681
row,2019-04-19 22:41:55.729900,0.020000000000003126,58.87,58.87833333333333,-0.015,0.0006264399999999739
row,2019-04-19 22:41:55.736658,0.020000000000003126,58.87,58.87833333333333,-0.015,0.0006264399999999739
row,2019-04-19 22:41:55.743846,0.020000000000003126,58.87,58.87888888888889,-0.015,0.0006264399999999739
row,2019-04-19 22:41:55.751084,0.020000000000003126,58.87,58.87888888888889,-0.015,0.0006264399999999739
row,2019-04-19 22:41:55.759863,0.020000000000003126,58.88,58.87888888888889,-0.015,0.0006264399999999739
row,2019-04-19 22:41:55.767121,0.020000000000003126,58.87,58.877826086956524,-0.012,0.0006264399999999739
row,2019-04-19 22:41:55.773965,0.020000000000003126,58.87,58.877826086956524,-0.012,0.0006264399999999739
row,2019-04-19 22:41:55.781431,0.030000000000001137,58.89,58.881249999999994,-0.028,0.0005864399999999818
row,2019-04-19 22:42:05.811586,0.030000000000001137,58.89,58.881249999999994,-0.028,-0.0005864399999999818
row,2019-04-19 22:42:05.818911,0.03999999999999915,58.87,58.88499999999999,-0.04,-0.0005464399999999898
row,2019-04-19 22:42:05.825925,0.03999999999999915,58.87,58.88499999999999,-0.04,-0.0005464399999999898
row,2019-04-19 22:42:05.833168,0.03999999999999915,58.87,58.88499999999999,-0.04,-0.0005464399999999898
row,2019-04-19 22:42:05.840165,0.03999999999999915,58.87,58.88499999999999,-0.04,-0.0005464399999999898
row,2019-04-19 22:42:05.846958,0.030000000000001137,58.87,58.89086956521739,-0.042,-0.0005864399999999818
row,2019-04-19 22:42:05.854743,0.030000000000001137,58.87,58.89086956521739,-0.042,-0.0005864399999999818
row,2019-04-19 22:42:05.863576,0.030000000000001137,58.87,58.89086956521739,-0.042,-0.0005864399999999818
row,2019-04-19 22:42:05.870943,0.00999999999999801,58.87,58.89111111111111,-0.035,-0.0006666799999999853
row,2019-04-19 22:42:05.877853,0.00999999999999801,58.9,58.902380952380945,-0.041,-0.000666799999999995
row,2019-04-19 22:42:15.908539,0.00999999999999801,58.9,58.902380952380945,-0.041,0.000666799999999995
row,2019-04-19 22:42:15.915270,0.020000000000003126,58.89,58.88384615384616,-0.029,0.0006264399999999739
row,2019-04-19 22:42:15.924054,0.020000000000003126,58.87,58.883658536585365,-0.034,0.0006264399999999739
row,2019-04-19 22:42:15.931231,0.020000000000003126,58.8804,58.88166666666666,-0.027,0.0006264399999999739
row,2019-04-19 22:42:15.938198,0.020000000000003126,58.8701,58.87620689655172,-0.014,0.0006264399999999739
row,2019-04-19 22:42:15.945286,0.030000000000001137,58.89,58.90714285714286,-0.044,0.0005866799999999728
row,2019-04-19 22:42:15.952416,0.020000000000003126,58.89,58.90266666666666,-0.03,0.0006067999999999772
row,2019-04-19 22:42:15.959952,0.020000000000003126,58.89,58.903,-0.027,0.0006167999999999682
row,2019-04-19 22:42:15.966867,0.020000000000003126,58.89,58.903,-0.027,0.0006167999999999682
row,2019-04-19 22:42:15.974228,0.00999999999999801,58.9,58.89416666666667,-0.027,0.0006666799999999853
row,2019-04-19 22:42:26.003054,0.01999999999999602,58.89,58.90185185185185,-0.034,-0.0006266799999999933
row,2019-04-19 22:42:26.011326,0.01999999999999602,58.89,58.89969696969697,-0.028,-0.0006266799999999933
row,2019-04-19 22:42:26.018437,0.01999999999999602,58.89,58.89780487804878,-0.02,-0.0006266799999999933
row,2019-04-19 22:42:26.025341,0.00999999999999801,58.89,58.90038461538462,-0.011,-0.000666799999999995
row,2019-04-19 22:42:26.033958,0.00999999999999801,58.89,58.90074074074074,-0.012,-0.000666799999999995
row,2019-04-19 22:42:26.041131,0.00999999999999801,58.9,58.894571428571425,0.001,-0.0006666799999999853
row,2019-04-19 22:42:26.048742,0.00999999999999801,58.91,58.906333333333336,-0.043,-0.000666799999999995
row,2019-04-19 22:42:26.055620,0.00999999999999801,58.9,58.89833333333333,-0.031,-0.0006666799999999853
row,2019-04-19 22:42:26.063993,0.00999999999999801,58.9,58.898275862068964,-0.03,-0.0006666799999999853
row,2019-04-19 22:42:26.071669,0.00999999999999801,58.89,58.88289473684211,0.003,-0.0006665599999999756
row,2019-04-19 22:42:36.099837,0.00999999999999801,58.89,58.88289473684211,0.003,0.0006665599999999756
row,2019-04-19 22:42:36.107382,0.00999999999999801,58.87,58.86892857142857,0.021,0.0006663199999999847
row,2019-04-19 22:42:36.114316,0.00999999999999801,58.86,58.867777777777775,0.023,0.0006663199999999847
row,2019-04-19 22:42:36.121477,0.020000000000003126,58.87,58.871914893617024,0.013,0.0006263199999999642
row,2019-04-19 22:42:36.129946,0.020000000000003126,58.87,58.872549019607845,0.009,0.0006263199999999642
row,2019-04-19 22:42:36.137385,0.020000000000003126,58.87,58.872549019607845,0.009,0.0006263199999999642
row,2019-04-19 22:42:36.145022,0.020000000000003126,58.87,58.87269230769231,0.008,0.0006263199999999642
row,2019-04-19 22:42:36.152480,0.010000000000005116,58.87,58.87050000000001,0.02,0.0006364399999999784
row,2019-04-19 22:42:36.160601,0.010000000000005116,58.875,58.87136363636364,0.018,0.0006564399999999602
row,2019-04-19 22:42:36.168106,0.01999999999999602,58.89,58.89225806451613,-0.033,0.0006265599999999836
row,2019-04-19 22:42:46.214010,0.01999999999999602,58.89,58.89225806451613,-0.033,0.0
row,2019-04-19 22:42:46.723766,0.01999999999999602,58.89,58.89225806451613,-0.033,0.0
row,2019-04-19 22:42:46.747061,0.01999999999999602,58.89,58.896,-0.042,0.0
row,2019-04-19 22:42:46.813990,0.020000000000003126,58.9,58.906857142857135,-0.055,0.0
row,2019-04-19 22:42:46.834355,0.020000000000003126,58.9,58.90722222222222,-0.056,0.0
