,AAPL
496,149.68
497,149.7
498,149.68
499,149.668
500,149.68
501,149.668
502,149.62
503,149.626
504,149.64599999999996
505,149.66600000000003
506,149.653
507,149.645
508,149.63
509,149.61300000000003
510,149.61300000000003
511,149.589
512,149.625
513,149.7
514,149.726
515,149.68800000000002
516,149.70999999999998
517,149.75
518,149.737
519,149.712
520,149.712
521,149.75
522,149.791
523,149.79
524,149.8
525,149.78
526,149.82
527,149.87
528,149.919
529,149.86
530,149.86
531,149.877
532,149.83
533,149.86
534,149.876
535,149.9
536,149.877
537,149.85
538,149.849
539,149.865
540,149.849
541,149.865
542,149.872
543,149.848
544,149.85
545,149.852
546,149.88
547,149.858
548,149.87
549,149.84
550,149.84
551,149.84
552,149.8
553,149.8
554,149.73
555,149.74
556,149.75
557,149.76099999999997
558,149.7
559,149.66500000000002
560,149.7
561,149.66500000000002
562,149.65599999999998
563,149.64
564,149.6
565,149.55
566,149.45
567,149.445
568,149.49
569,149.42
570,149.42
571,149.43
572,149.43
573,149.42
574,149.42
575,149.309
576,149.22
577,149.26
578,149.28
579,149.271
580,149.28
581,149.271
582,149.32
583,149.264
584,149.275
585,149.35
586,149.385
587,149.4
588,149.33
589,149.37
590,149.37
591,149.28
592,149.24
593,149.27
594,149.26
595,149.23
596,149.29
597,149.3
598,149.259
599,149.25
600,149.259
601,149.25
602,149.20999999999998
603,149.20999999999998
604,149.20999999999998
605,149.18
606,149.2
607,149.26
608,149.23
609,149.17
610,149.23
611,149.17
612,149.1
613,149.1
614,149.092
615,149.18
616,149.15
617,149.09
618,149.08
619,149.021
620,149.021
621,148.97
622,148.99
623,148.99
624,148.94000000000003
625,148.99
626,148.98499999999999
627,148.99
628,148.92
629,148.94000000000003
630,148.92
631,148.94000000000003
632,148.955
633,148.95
634,148.91
635,148.85
636,148.861
637,148.86
638,148.9
639,148.9
640,148.9
641,148.98
642,148.95999999999998
643,148.955
644,148.93399999999997
645,148.94000000000003
646,148.85
647,148.93
648,148.9
649,148.873
650,148.9
651,148.873
652,148.84
653,148.895
654,148.9
655,148.9
656,148.873
657,148.875
658,148.88
659,148.92
660,148.92
661,148.94000000000003
662,148.955
663,148.97
664,148.94000000000003
665,148.94900000000004
666,148.93
667,148.93499999999997
668,148.925
669,148.92
670,148.925
671,148.92
672,148.92
673,148.9
674,148.9
675,148.91
676,148.879
677,148.952
678,148.965
679,149.09
680,149.09
681,149.10199999999998
682,149.15
683,149.09
684,149.16
685,149.14000000000001
686,149.18
687,149.22
688,149.13199999999998
689,149.1
690,149.13199999999998
691,149.1
692,149.16400000000002
693,149.16
694,149.19000000000003
695,149.18
696,149.16
697,149.16
698,149.18
699,149.22
700,149.22
701,149.175
702,149.25
703,149.27
704,149.23
705,149.205
706,149.26
707,149.3
708,149.31
709,149.202
710,149.31
711,149.202
712,149.15499999999997
713,149.14000000000001
714,149.16400000000002
715,149.2
716,149.23
717,149.17
718,149.172
719,149.15499999999997
720,149.15499999999997
721,149.08
722,149.07
723,149.08
724,149.107
725,149.11
726,149.08
727,149.08
728,149.1
729,149.073
730,149.1
731,149.073
732,149.12
733,149.13
734,149.133
735,149.07
736,149.08
737,149.1
738,149.11
739,148.99
740,148.99
741,148.95
742,148.946
743,149.0
744,148.94000000000003
745,148.93499999999997
746,148.95999999999998
747,149.0
748,148.98
749,149.1
750,148.98
751,149.1
752,149.1
753,149.07
754,149.16
755,149.15499999999997
756,149.07
757,149.05
758,149.07
759,149.03
760,149.03
761,149.01
762,149.074
763,149.13199999999998
764,149.12
765,149.03
766,149.07
767,149.07500000000002
768,149.04
769,149.12
770,149.04
771,149.12
772,149.115
773,149.06
774,149.06
775,149.14000000000001
776,149.134
777,149.11300000000003
778,149.068
779,148.99
780,148.99
781,149.08
782,149.09
783,149.07
784,149.03
785,149.045
786,149.07
787,149.09
