,TRV
0,139.09
1,139.09
2,138.885
3,138.885
4,138.885
5,138.72
6,138.72
7,138.72
8,138.72
9,138.72
10,138.72
11,138.5
12,138.5
13,138.56
14,138.38
15,138.38
16,138.38
17,138.38
18,138.44
19,138.22
20,138.29
21,138.37
22,138.37
23,138.37
24,138.37
25,138.34
26,138.3
27,138.385
28,138.47
29,138.44
30,138.47
31,138.45
32,138.45
33,138.45
34,138.45
35,138.45
36,138.285
37,138.17
38,138.17
39,138.17
40,138.17
41,138.2
42,138.235
43,138.29
44,138.255
45,138.44
46,138.44
47,138.44
48,138.53
49,138.53
50,138.445
51,138.445
52,138.39
53,138.39
54,138.48
55,138.48
56,138.42
57,138.42
58,138.42
59,138.5
60,138.5
61,138.5
62,138.5
63,138.5
64,138.5
65,138.5
66,138.5
67,138.43
68,138.27
69,138.26
70,138.26
71,138.26
72,138.25
73,138.25
74,138.19
75,138.19
76,138.19
77,138.19
78,138.19
79,138.14
80,138.1
81,138.15
82,138.15
83,138.15
84,138.2
85,138.165
86,138.1
87,138.1
88,138.27
89,138.23
90,138.19
91,138.18
92,138.18
93,138.19
94,138.19
95,138.19
96,138.21
97,138.23
98,138.275
99,138.275
100,138.16
101,138.16
102,138.14
103,138.21
104,138.21
105,138.27
106,138.31
107,138.15
108,138.15
109,138.18
110,138.14
111,138.15
112,138.12
113,138.12
114,138.12
115,138.11
116,138.08
117,138.08
118,137.99
119,138.02
120,138.02
121,138.01
122,138.01
123,137.99
124,138.05
125,138.05
126,138.05
127,138.05
128,138.05
129,138.05
130,138.05
131,138.05
132,138.05
133,138.06
134,138.06
135,138.06
136,137.99
137,137.98
138,137.94
139,137.94
140,137.83
141,137.81
142,137.81
143,137.81
144,137.77
145,137.77
146,137.77
147,137.77
148,137.8
149,137.8
150,137.85
151,137.86
152,137.85
153,137.91
154,137.91
155,137.91
156,137.88
157,137.88
158,137.88
159,137.83
160,137.79
161,137.76
162,137.76
163,137.76
164,137.76
165,137.775
166,137.73
167,137.65
168,137.78
169,137.78
170,137.78
171,137.82
172,137.86
173,137.86
174,137.75
175,137.75
176,137.75
177,137.75
178,137.75
179,137.75
180,137.64
181,137.636
182,137.77
183,137.78
184,137.78
185,137.76
186,137.76
187,137.76
188,137.81
189,137.79
190,137.79
191,137.73
192,137.73
193,137.73
194,137.73
195,137.76
196,137.81
197,137.81
198,137.81
199,137.81
200,137.86
201,137.86
202,137.83
203,137.83
204,137.83
205,137.83
206,137.92
207,137.94
208,138.013
209,138.013
210,138.013
211,138.06
212,138.03
213,138.03
214,137.98
215,137.98
216,137.98
217,137.98
218,137.98
219,138.09
220,138.15
221,138.15
222,138.12
223,138.2
224,138.253
225,138.21
226,138.21
227,138.26
228,138.27
229,138.27
230,138.38
231,138.36
232,138.4
233,138.385
234,138.385
235,138.385
236,138.38
237,138.38
238,138.28
239,138.24
240,138.24
241,138.24
242,138.27
243,138.27
244,138.27
245,138.24
246,138.24
247,138.25
248,138.25
249,138.25
250,138.25
251,138.25
252,138.285
253,138.21
254,138.21
255,138.21
256,138.21
257,138.28
258,138.246
259,138.23
260,138.22
261,138.17
262,138.17
263,138.16
264,138.175
265,138.2
266,138.13
267,138.22
268,138.17
269,138.165
270,138.2
271,138.2
272,138.2
273,138.13
274,138.165
275,138.19
276,138.165
277,138.035
278,138.08
279,138.11
280,138.13
281,138.13
282,138.14
283,138.17
284,138.12
285,138.16
286,138.13
287,138.07
288,138.07
289,138.11
290,138.21
291,138.19
292,138.16
293,138.25
294,138.38
295,138.4
296,138.4
297,138.4
298,138.35
299,138.35
300,138.315
301,138.28
302,138.29
303,138.38
304,138.38
305,138.38
306,138.38
307,138.29
308,138.27
309,138.34
310,138.35
311,138.35
312,138.27
313,138.27
314,138.33
315,138.33
316,138.27
317,138.3
318,138.34
319,138.34
320,138.32
321,138.32
322,138.305
323,138.29
324,138.29
325,138.27
326,138.28
327,138.265
328,138.265
329,138.33
330,138.38
331,138.49
332,138.5
333,138.48
334,138.46
335,138.485
336,138.44
337,138.44
338,138.42
339,138.447
340,138.447
341,138.46
342,138.45
343,138.43
344,138.4
345,138.4
346,138.4
347,138.41
348,138.41
349,138.41
350,138.44
351,138.44
352,138.4
353,138.47
354,138.51
355,138.41
356,138.51
357,138.51
358,138.51
359,138.57
360,138.58
361,138.53
362,138.53
363,138.48
364,138.51
365,138.52
366,138.51
367,138.46
368,138.4
369,138.48
370,138.48
371,138.48
372,138.47
373,138.49
374,138.46
375,138.47
376,138.48
377,138.48
378,138.48
379,138.45
380,138.54
381,138.54
382,138.47
383,138.43
384,138.43
385,138.43
386,138.43
387,138.44
388,138.34
389,138.31
390,138.37
391,138.39
392,138.36
393,138.36
394,138.34
395,138.34
396,138.31
397,138.36
398,138.33
399,138.32
400,138.37
401,138.37
402,138.37
403,138.36
404,138.34
405,138.45
406,138.45
407,138.49
408,138.49
409,138.44
410,138.44
411,138.39
412,138.39
413,138.38
414,138.41
415,138.32
416,138.32
417,138.32
418,138.34
419,138.33
420,138.31
421,138.27
422,138.21
423,138.2
424,138.2
425,138.28
426,138.28
427,138.22
428,138.21
429,138.21
430,138.21
431,138.21
432,138.21
433,138.21
434,138.18
435,138.2
436,138.225
437,138.17
438,138.18
439,138.15
440,138.11
441,138.11
442,138.11
443,138.11
444,138.13
445,138.08
446,138.07
447,138.07
448,138.07
449,138.07
450,138.13
451,138.135
452,138.18
453,138.18
454,138.16
455,138.15
456,138.15
457,138.18
458,138.18
459,138.18
460,138.22
461,138.26
462,138.26
463,138.26
464,138.275
465,138.27
466,138.23
467,138.23
468,138.23
469,138.23
470,138.28
471,138.26
472,138.25
473,138.27
474,138.27
475,138.27
476,138.27
477,138.27
478,138.27
479,138.21
480,138.2
481,138.22
482,138.219
483,138.219
484,138.16
485,138.16
486,138.114
487,138.114
488,138.19
489,138.19
490,138.2
491,138.2
492,138.24
493,138.24
494,138.24
495,138.24
496,138.246
497,138.28
498,138.3
499,138.3
500,138.31
501,138.31
502,138.31
503,138.29
504,138.29
505,138.34
506,138.318
507,138.29
508,138.34
509,138.35
510,138.34
511,138.39
512,138.39
513,138.39
514,138.48
515,138.48
516,138.48
517,138.48
518,138.56
519,138.56
520,138.64
521,138.64
522,138.64
523,138.67
524,138.67
525,138.7
526,138.72
527,138.72
528,138.72
529,138.695
530,138.71
531,138.75
532,138.8
533,138.8
534,138.79
535,138.77
536,138.77
537,138.77
538,138.76
539,138.755
540,138.71
541,138.74
542,138.77
543,138.76
544,138.76
545,138.73
546,138.7
547,138.68
548,138.68
549,138.68
550,138.68
551,138.67
552,138.66
553,138.66
554,138.63
555,138.63
556,138.66
557,138.64
558,138.64
559,138.64
560,138.6
561,138.61
562,138.59
563,138.62
564,138.57
565,138.57
566,138.57
567,138.57
568,138.5
569,138.5
570,138.45
571,138.475
572,138.45
573,138.48
574,138.46
575,138.49
576,138.49
577,138.49
578,138.37
579,138.43
580,138.43
581,138.48
582,138.48
583,138.48
584,138.52
585,138.52
586,138.52
587,138.535
588,138.535
589,138.515
590,138.515
591,138.515
592,138.52
593,138.52
594,138.52
595,138.52
596,138.52
597,138.57
598,138.56
599,138.52
600,138.52
601,138.39
602,138.36
603,138.35
604,138.36
605,138.36
606,138.36
607,138.43
608,138.37
609,138.37
610,138.27
611,138.32
612,138.32
613,138.29
614,138.25
615,138.305
616,138.4
617,138.35
618,138.36
619,138.35
620,138.3
621,138.3
622,138.33
623,138.32
624,138.32
625,138.26
626,138.22
627,138.22
628,138.22
629,138.22
630,138.28
631,138.28
632,138.39
633,138.48
634,138.48
635,138.53
636,138.53
637,138.53
638,138.49
639,138.51
640,138.39
641,138.37
642,138.37
643,138.37
644,138.41
645,138.41
646,138.43
647,138.39
648,138.38
649,138.34
650,138.33
651,138.33
652,138.33
653,138.41
654,138.41
655,138.41
656,138.41
657,138.41
658,138.44
659,138.52
660,138.52
661,138.52
662,138.52
663,138.52
664,138.46
665,138.46
666,138.46
667,138.46
668,138.46
669,138.46
670,138.43
671,138.48
672,138.45
673,138.46
674,138.46
675,138.42
676,138.431
677,138.431
678,138.43
679,138.42
680,138.42
681,138.42
682,138.42
683,138.45
684,138.41
685,138.37
686,138.34
687,138.33
688,138.29
689,138.29
690,138.29
691,138.26
692,138.275
693,138.24
694,138.24
695,138.28
696,138.27
697,138.25
698,138.25
699,138.28
700,138.28
701,138.265
702,138.265
703,138.27
704,138.27
705,138.32
706,138.39
707,138.43
708,138.43
709,138.46
710,138.53
711,138.53
712,138.53
713,138.53
714,138.485
715,138.5
716,138.51
717,138.53
718,138.51
719,138.508
720,138.52
721,138.54
722,138.52
723,138.52
724,138.5
725,138.45
726,138.45
727,138.45
728,138.49
729,138.455
730,138.455
731,138.47
732,138.36
733,138.26
734,138.28
735,138.17
736,138.09
737,138.09
738,138.13
739,138.07
740,138.02
741,137.95
742,137.8
743,137.67
744,137.67
745,137.85
746,137.75
747,137.76
748,137.78
749,137.78
750,137.82
751,137.86
752,137.93
753,137.88
754,137.88
755,137.94
756,137.94
757,137.94
758,137.94
759,137.88
760,137.86
761,137.86
762,137.89
763,137.89
764,137.85
765,137.83
766,137.83
767,137.8
768,137.76
769,137.77
770,137.77
771,137.77
772,137.76
773,137.785
774,137.81
775,137.81
776,137.74
777,137.74
778,137.75
779,137.76
780,137.76
781,137.76
782,137.75
783,137.75
784,137.75
785,137.75
786,137.695
787,137.695
788,137.69
789,137.69
790,137.71
791,137.71
792,137.78
793,137.84
794,137.87
795,137.83
796,137.81
797,137.83
798,137.83
799,137.943
800,137.925
801,137.925
802,137.95
803,137.96
804,137.96
805,137.96
806,137.92
807,137.92
808,137.92
809,137.92
810,137.95
811,137.92
812,137.92
813,137.92
814,137.92
815,137.92
816,137.98
817,137.98
818,137.98
819,137.98
820,138.01
821,138.01
822,138.075
823,138.01
