,Time,BA_spread,Price,Smart_price,Liquid_imb,MKT_cost,Log_return
0,1,0.09,0.14819,0.14822625,0.073,-0.0007092,0
1,10,0.06,0.14851,0.148541053,-0.047,0,0.0009368
2,20,0.05,0.148458,0.148445926,0.051,0.00158104,-0.000152093
3,30,0.05,0.148059,0.148043333,-0.01,0,-0.001168794
4,40,0.03,0.14801,0.148004286,0.074,0,-0.000143753
5,50,0.05,0.14822,0.148203846,0.026,0,0.00061575
6,60,0.05,0.14827,0.148265,0.002,0,0.000146479
7,70,0.04,0.14822,0.148203478,0.016,-0.0016184,-0.000146479
8,80,0.08,0.148321,0.148351111,-0.065,0,0.000295836
9,90,0.05,0.14843,0.14842125,-0.078,0,0.000319043
10,100,0.03,0.1486,0.148597,-0.053,0.00166284,0.000497122
11,110,0.04,0.1489,0.148862222,0.008,0,0.000875888
12,120,0.04,0.14893,0.148903478,0.047,-0.0016268,8.74918E-05
13,130,0.05,0.1489,0.148875,0.005,0,-8.74918E-05
14,140,0.06,0.148883,0.148886,0.029,0.0015462,-4.95865E-05
15,150,0.04,0.149,0.148997879,-0.095,-0.00162764,0.000341157
16,160,0.04,0.14929,0.149250889,0.043,0.001541,0.00084445
17,170,0.04,0.14936,0.149367037,-0.064,-0.00163196,0.000203587
18,180,0.03,0.14947,0.149460526,0.037,0.00167328,0.00031973
19,190,0.05,0.149417,0.149402973,0.001,0,-0.000154022
20,200,0.04,0.14928,0.149246316,0.136,-0.00163088,-0.000398386
21,210,0.06,0.149319,0.149342432,0.12,0.00155172,0.000113446
22,220,0.05,0.149355,0.1493375,0.12,-0.00159184,0.000104693
23,230,0.04,0.149172,0.149193846,-0.008,0.00162992,-0.000532454
24,240,0.05,0.14912,0.149149032,0.079,-0.00158944,-0.000151417
25,250,0.02,0.14924,0.149232,0.068,0,0.000349345
26,260,0.04,0.149257,0.149267241,-0.004,0,4.94679E-05
27,270,0.03,0.14963,0.1496075,0.004,0,0.001083968
28,280,0.05,0.14944,0.149445789,0.029,0,-0.000551817
29,290,0.05,0.14937,0.149375806,-0.121,0,-0.000203478
30,300,0.03,0.149489,0.149498929,-0.054,0.00167364,0.000345856
31,310,0.04,0.14935,0.149365814,0.028,0,-0.00040401
32,320,0.03,0.14925,0.14918375,-0.021,-0.00167016,-0.000290887
33,330,0.03,0.149279,0.14928,0.09,0,8.43773E-05
34,340,0.02,0.1493,0.149316667,0.009,0,6.10906E-05
35,350,0.03,0.149305,0.149303333,-0.017,0.00167148,1.45441E-05
36,360,0.05,0.14945,0.149442308,0.011,-0.0015928,0.000421568
37,370,0.02,0.149646,0.149637647,-0.033,0.00171544,0.000569193
38,380,0.04,0.14941,0.149447241,-0.083,-0.00163292,-0.000685447
39,390,0.04,0.14952,0.149541429,-0.086,0,0.000319623
40,400,0.04,0.14945,0.149477442,-0.028,0,-0.000203369
41,410,0.03,0.149491,0.149495556,-0.054,0.00167364,0.000119128
42,420,0.02,0.149638,0.149648571,-0.001,0,0.000426848
43,430,0.04,0.14965,0.149687895,-0.014,0,3.48262E-05
44,440,0.03,0.14971,0.1497325,-0.013,0,0.000174089
45,450,0.03,0.149487,0.14949125,-0.035,-0.00167376,-0.000647384
46,460,0.04,0.14954,0.149514737,0.027,0.001634,0.00015395
47,470,0.03,0.14941,0.149428929,-0.04,0,-0.000377711
