,AAPL
534,146.83
535,146.79
536,146.8
537,146.984
538,146.77
539,146.867
540,146.996
541,147.01
542,147.06
543,147.155
544,147.095
545,147.053
546,147.02
547,147.09
548,147.25
549,147.331
550,147.251
551,147.28
552,147.38
553,147.51
554,147.582
555,147.56
556,147.59
557,147.665
558,147.658
559,147.57
560,147.544
561,147.62
562,147.641
563,147.68
564,147.74
565,147.863
566,147.8
567,147.68
568,147.663
569,147.47
570,147.46
571,147.48
572,147.41
573,147.42
574,147.54
575,147.329
576,147.44
577,147.554
578,147.52
579,147.545
580,147.659
581,147.61
582,147.7
583,147.61
584,147.8
585,147.702
586,147.76
587,147.78
588,147.93
589,147.821
590,147.8
591,147.809
592,147.92
593,147.88
594,147.842
595,147.83
596,147.79
597,148.05
598,148.04
599,148.027
600,148.068
601,148.04
602,148.01
603,148.025
604,147.925
605,147.875
606,147.8
607,147.9
608,147.935
609,147.96
610,147.95
611,147.95
612,147.925
613,148.03
614,147.99
615,148.004
616,147.95
617,148.07
618,148.177
619,148.2
620,148.23
621,148.235
622,148.32
623,148.467
624,148.583
625,148.58
626,148.53
627,148.545
628,148.58
629,148.645
630,148.631
631,148.72
632,148.7
633,148.7
634,148.715
635,148.696
636,148.49
637,148.52
638,148.49
639,148.393
640,148.44
641,148.38
642,148.52
643,148.57
644,148.8
645,148.779
646,148.78
647,148.74
648,148.67
649,148.71
650,148.77
651,148.777
652,148.82
653,148.81
654,148.82
655,148.855
656,148.83
657,148.89
658,148.93
659,148.845
660,148.86
661,148.85
662,148.61
663,148.59
664,148.64
665,148.65
666,148.724
667,148.7
668,148.68
669,148.7
670,148.631
671,148.62
672,148.585
673,148.59
674,148.555
675,148.57
676,148.563
677,148.66
678,148.68
679,148.59
680,148.71
681,148.7
682,148.77
683,148.89
684,148.925
685,148.819
686,148.845
687,148.861
688,148.88
689,148.885
690,148.79
691,148.819
692,148.803
693,148.81
694,148.871
695,148.85
696,148.826
697,148.88
698,148.94
699,149.06
700,149
701,148.97
702,149
703,149.009
704,148.96
705,148.92
706,148.94
707,148.829
708,148.781
709,148.8
710,148.825
711,148.81
712,148.84
713,148.9
714,148.86
715,148.862
716,148.78
717,148.81
718,148.89
719,148.956
720,148.96
721,148.89
722,148.819
723,148.87
724,148.84
725,148.813
726,148.83
727,148.674
728,148.687
729,148.73
730,148.63
731,148.665
732,148.635
733,148.597
734,148.67
735,148.685
736,148.695
737,148.616
738,148.59
739,148.56
740,148.59
741,148.6
742,148.65
743,148.62
744,148.697
745,148.71
746,148.741
747,148.95
748,148.94
749,148.96
750,149.01
751,148.97
752,148.98
753,149.02
754,149.015
755,149.067
756,149.08
757,149.1
758,149.1
759,149.06
760,149.14
761,149.205
762,149.256
763,149.225
764,149.23
765,149.245
766,149.271
767,149.22
768,149.139
769,149.21
770,149.183
771,149.16
772,149.132
773,149.17
774,149.25
775,149.33
776,149.37
777,149.421
778,149.37
779,149.428
780,149.492
781,149.57
782,149.448
783,149.521
784,149.5
785,149.47
786,149.459
787,149.4
788,149.34
789,149.34
790,149.31
791,149.37
792,149.43
793,149.36
794,149.35
795,149.33
796,149.303
797,149.203
798,149.22
799,149.238
800,149.237
801,149.13
802,149.211
803,149.22
804,149.167
805,149.204
806,149.14
807,149.15
808,149.24
809,149.33
810,149.29
811,149.33
812,149.35
813,149.23
814,149.255
815,149.395
816,149.46
817,149.486
818,149.41
819,149.49
820,149.525
821,149.57
822,149.614
823,149.72
824,149.62
825,149.54
826,149.44
827,149.433
828,149.38
829,149.3
830,149.25
831,149.406
832,149.3
833,149.32
834,149.249
835,149.28
836,149.21
837,149.25
838,149.244
839,149.244
840,149.235
841,149.196
842,149.184
843,149.21
844,149.215
845,149.36
846,149.31
847,149.315
848,149.42
849,149.471
850,149.505
851,149.51
852,149.547
853,149.58
854,149.6
855,149.67
856,149.68
857,149.701
858,149.63
859,149.69
860,149.73
861,149.75
862,149.78
863,149.89
864,149.87
865,149.915
866,149.97
867,150.2
868,150.27
869,150.29
870,150.23
871,150.245
872,150.28
873,150.28
874,150.32
875,150.39
876,150.43
877,150.49
878,150.57
879,150.61
880,150.65
881,150.73
882,150.885
883,150.78
884,150.81
885,150.856
886,150.87
887,151.01
888,151.08
889,151.037
890,151.07
891,150.93
892,151.003
893,150.92
894,150.87
895,150.871
896,150.779
897,150.774
898,150.8
899,150.8
900,150.76
901,150.81
902,150.812
903,150.84
904,150.83
905,150.91
906,150.93
907,150.82
908,150.81
909,150.755
910,150.744
911,150.88
912,150.91
913,150.91
914,150.898
915,150.95
916,150.99
917,150.98
918,150.959
919,150.923
920,151.02
921,150.935
922,151.02
923,151.06
924,151.17
925,151.105
926,151.164
927,151.15
928,151.17
929,151.22
930,151.17
931,151.02
932,150.92
933,150.95
934,150.99
935,151.04
936,151.07
937,150.779
938,150.82
939,150.88
940,151.06
941,151.02
942,151.07
943,151.11
944,151.24
945,151.2
946,151.15
947,151.16
