,PFE
0,40.6601
1,40.6397
2,40.65
3,40.6525
4,40.66
5,40.64
6,40.65
7,40.645
8,40.66
9,40.66
10,40.75
11,40.75
12,40.73
13,40.7
14,40.76
15,40.77
16,40.81
17,40.8772
18,40.84
19,40.79
20,40.79
21,40.82
22,40.81
23,40.82
24,40.8
25,40.77
26,40.78
27,40.7128
28,40.79
29,40.83
30,40.86
31,40.86
32,40.8832
33,40.88
34,40.89
35,40.9
36,40.9
37,40.89
38,40.91
39,40.86
40,40.89
41,40.91
42,40.95
43,40.96
44,40.99
45,40.99
46,40.99
47,40.995
48,41.01
49,41
50,40.99
51,41.006
52,40.985
53,40.96
54,40.92
55,40.9467
56,40.9969
57,41.01
58,40.99
59,41
60,41.01
61,41.02
62,41.01
63,40.97
64,40.93
65,40.93
66,40.93
67,40.89
68,40.93
69,40.93
70,40.94
71,40.95
72,40.92
73,40.93
74,40.93
75,40.88
76,40.89
77,40.92
78,40.93
79,40.94
80,40.97
81,40.99
82,40.98
83,40.96
84,40.955
85,40.93
86,40.93
87,40.92
88,40.93
89,40.9
90,40.9
91,40.94
92,40.94
93,40.99
94,41
95,40.99
96,41.01
97,41.03
98,41.03
99,41
100,40.99
101,41
102,40.98
103,40.96
104,40.98
105,41.01
106,40.99
107,41
108,41
109,41.02
110,41.05
111,41.05
112,41.01
113,41
114,40.975
115,40.92
116,40.95
117,40.96
118,40.96
119,40.95
120,40.955
121,40.9649
122,40.96
123,40.94
124,40.95
125,40.935
126,40.95
127,40.965
128,40.98
129,40.93
130,40.93
131,40.92
132,40.94
133,40.92
134,40.93
135,40.89
136,40.86
137,40.9
138,40.87
139,40.8844
140,40.8927
141,40.89
142,40.83
143,40.85
144,40.85
145,40.8
146,40.79
147,40.82
148,40.83
149,40.78
150,40.8
151,40.795
152,40.79
153,40.7854
154,40.7631
155,40.77
156,40.7421
157,40.755
158,40.77
159,40.77
160,40.75
161,40.69
162,40.705
163,40.68
164,40.68
165,40.66
166,40.625
167,40.61
168,40.64
169,40.6171
170,40.6
171,40.6
172,40.6
173,40.59
174,40.61
175,40.62
176,40.6362
177,40.645
178,40.66
179,40.645
180,40.62
181,40.605
182,40.6065
183,40.61
184,40.6008
185,40.605
186,40.585
187,40.59
188,40.595
189,40.59
190,40.58
191,40.59
192,40.56
193,40.5075
194,40.48
195,40.51
196,40.53
197,40.5106
198,40.53
199,40.52
200,40.53
201,40.4834
202,40.51
203,40.51
204,40.51
205,40.5134
206,40.5
207,40.45
208,40.48
209,40.48
210,40.49
211,40.5
212,40.49
213,40.49
214,40.48
215,40.51
216,40.52
217,40.49
218,40.51
219,40.535
220,40.54
221,40.54
222,40.56
223,40.61
224,40.64
225,40.65
226,40.675
227,40.65
228,40.66
229,40.7
230,40.705
231,40.67
232,40.66
233,40.65
234,40.62
235,40.61
236,40.55
237,40.56
238,40.56
239,40.5356
240,40.54
241,40.52
242,40.52
243,40.54
244,40.55
245,40.56
246,40.5997
247,40.5386
248,40.605
249,40.585
250,40.575
251,40.55
252,40.55
253,40.53
254,40.51
255,40.52
256,40.53
