,Time,BA_spread,Price,Smart_price,Liquid_imb,MKT_cost,Log_return
0,1,0.02,0.17098,170.9834483,0.015,-0.00098588,0
1,10,0.05,0.17103,171.0569231,-0.002,0.00185236,0.000126983
2,20,0.06,0.170928,170.91,0.034,0,-0.000259085
3,30,0.02,0.17093,170.9316667,0.032,0,5.08158E-06
4,40,0.02,0.17125,171.2338462,0.016,0,0.000812288
5,50,0.02,0.17117,171.1626316,0.034,0,-0.000202929
6,60,0.01,0.17114,171.1416667,0.107,-0.00201368,-7.6123E-05
7,70,0.03,0.1711,171.0833333,0.106,0.00192296,-0.000101518
8,80,0.03,0.17112,171.1257143,0.03,-0.0019332,5.0762E-05
9,90,0.03,0.171112,171.0934091,0.08,0,-2.03041E-05
10,100,0.02,0.17105,171.0553333,0.068,0,-0.000157389
11,110,0.04,0.171141,171.118,0.021,0,0.000230987
12,120,0.08,0.17127,171.2727273,-0.009,0,0.000327232
13,130,0.02,0.171368,171.3666667,0.013,0.00197632,0.00024843
14,140,0.05,0.171644,171.6614286,0.001,0,0.000698899
15,150,0.04,0.17174,171.752,-0.009,0,0.000242832
16,160,0.02,0.17178,171.8025,-0.026,0,0.00010114
17,170,0.06,0.17184,171.86,0.001,0,0.000151666
18,180,0.02,0.17188,171.8648,0.012,0,0.000101081
19,190,0.05,0.17196,171.9442105,0.014,0,0.000202091
20,200,0.04,0.17193,171.9471429,0.011,-0.00190304,-7.57733E-05
21,210,0.03,0.17203,172.044,-0.006,0.00194424,0.000252526
22,220,0.04,0.17188,171.8885714,0.023,0,-0.000378844
23,230,0.04,0.172041,172.048,0.006,-0.00190448,0.000406613
24,240,0.06,0.172136,172.1325,-0.003,0.00179532,0.000239749
25,250,0.03,0.17203,172.0185714,-0.023,-0.00194412,-0.000267518
26,260,0.03,0.17191,171.9,-0.023,0.00191268,-0.000303049
27,270,0.03,0.17193,171.9042857,-0.017,0,5.05229E-05
28,280,0.01,0.171898,171.8978261,-0.074,-0.00202268,-8.08394E-05
29,290,0.02,0.1719,171.9063415,-0.055,0.0019828,5.0529E-06
30,300,0.02,0.1719,171.9055556,-0.057,0,0
31,310,0.02,0.17177,171.78,0.017,0,-0.000328561
32,320,0.01,0.17182,171.826,0.061,0,0.000126399
33,330,0.01,0.171825,171.8292308,-0.011,-0.00202184,1.26379E-05
34,340,0.02,0.17176,171.7654545,-0.052,0,-0.000164321
