,PFE
518,36.475
519,36.475
520,36.48
521,36.47
522,36.475
523,36.475
524,36.47
525,36.47
526,36.47
527,36.475
528,36.4701
529,36.475
530,36.47
531,36.47
532,36.475
533,36.475
534,36.47
535,36.47
536,36.47
537,36.475
538,36.4764
539,36.47
540,36.465
541,36.47
542,36.4669
543,36.46
544,36.46
545,36.46
546,36.44
547,36.44
548,36.445
549,36.44
550,36.44
551,36.4441
552,36.4439
553,36.445
554,36.44
555,36.46
556,36.45
557,36.455
558,36.46
559,36.4453
560,36.445
561,36.4442
562,36.45
563,36.44
564,36.44
565,36.435
566,36.4447
567,36.45
568,36.45
569,36.45
570,36.45
571,36.45
572,36.455
573,36.45
574,36.45
575,36.445
576,36.45
577,36.445
578,36.445
579,36.445
580,36.4482
581,36.4438
582,36.43
583,36.435
584,36.435
585,36.445
586,36.445
587,36.45
588,36.44
589,36.45
590,36.46
591,36.47
592,36.465
593,36.465
594,36.47
595,36.47
596,36.48
597,36.476
598,36.4753
599,36.48
600,36.48
601,36.485
602,36.485
603,36.485
604,36.48
605,36.48
606,36.481
607,36.4629
608,36.47
609,36.4715
610,36.475
611,36.47
612,36.47
613,36.46
614,36.47
615,36.4705
616,36.48
617,36.48
618,36.48
619,36.48
620,36.475
621,36.47
622,36.475
623,36.47
624,36.46
625,36.465
626,36.47
627,36.46
628,36.46
629,36.46
630,36.4647
631,36.46
632,36.465
633,36.455
634,36.45
635,36.45
636,36.45
637,36.45
638,36.45
639,36.44
640,36.448
641,36.448
642,36.44
643,36.4469
644,36.445
645,36.45
646,36.45
647,36.45
648,36.46
649,36.455
650,36.46
651,36.455
652,36.455
653,36.4561
654,36.455
655,36.46
656,36.45
657,36.4509
658,36.46
659,36.45
660,36.46
661,36.455
662,36.45
663,36.4561
664,36.455
665,36.46
666,36.458
667,36.454
668,36.455
669,36.455
670,36.455
671,36.4586
672,36.45
673,36.455
674,36.455
675,36.45
676,36.46
677,36.455
678,36.4553
679,36.45
680,36.4543
681,36.455
682,36.4536
683,36.46
684,36.4548
685,36.4501
686,36.455
687,36.4538
688,36.46
689,36.455
690,36.455
691,36.46
692,36.455
693,36.45
694,36.455
695,36.455
696,36.455
697,36.45
698,36.45
699,36.44
700,36.44
701,36.44
702,36.445
703,36.44
704,36.445
705,36.44
706,36.445
707,36.44
708,36.44
709,36.445
710,36.44
711,36.45
712,36.44
713,36.43
714,36.44
715,36.43
716,36.435
717,36.43
718,36.425
719,36.43
720,36.425
721,36.425
722,36.43
723,36.43
724,36.425
725,36.4233
726,36.43
727,36.44
728,36.4334
729,36.43
730,36.43
731,36.446
732,36.445
733,36.4499
734,36.45
735,36.445
736,36.445
737,36.45
738,36.441
739,36.45
740,36.4453
741,36.44
742,36.45
743,36.44
744,36.4401
745,36.4348
746,36.4462
747,36.44
748,36.43
749,36.435
750,36.4305
751,36.435
752,36.43
753,36.439
754,36.435
755,36.43
756,36.43
757,36.4342
758,36.4357
759,36.4337
760,36.44
761,36.435
762,36.435
763,36.4336
764,36.43
