,TRV
532,111.22
533,111.22
534,111.27
535,111.3
536,111.33
537,111.28
538,111.43
539,111.35
540,111.43
541,111.31
542,111.46
543,111.32
544,111.49
545,111.46
546,111.56
547,111.55
548,111.234
549,111.51
550,111.75
551,111.62
552,111.59
553,111.59
554,111.7
555,111.396
556,111.396
557,111.56
558,111.76
559,111.81
560,111.82
561,111.84
562,111.71
563,111.8
564,111.81
565,111.705
566,111.72
567,111.725
568,111.72
569,111.77
570,111.63
571,111.635
572,111.74
573,111.82
574,111.64
575,111.62
576,111.64
577,111.64
578,111.658
579,111.72
580,111.8
581,111.8
582,111.8
583,111.79
584,111.765
585,111.83
586,111.75
587,111.75
588,111.83
589,111.79
590,111.75
591,111.75
592,111.79
593,111.81
594,111.72
595,111.76
596,111.74
597,111.74
598,111.815
599,111.815
600,111.74
601,111.74
602,111.74
603,111.7
604,111.745
605,111.745
606,111.82
607,111.73
608,111.78
609,111.72
610,111.72
611,111.72
612,111.71
613,111.75
614,111.74
615,111.799
616,111.86
617,111.768
618,111.89
619,112.05
620,112.09
621,112.05
622,112.04
623,112.14
624,112.19
625,112.15
626,112.14
627,112.16
628,112.185
629,112.08
630,112.2
631,112.1
632,112.17
633,112.04
634,112.11
635,112.06
636,111.98
637,112.07
638,112.23
639,112.13
640,112.11
641,112.11
642,112.2
643,112.17
644,112.17
645,112.23
646,112.12
647,112.12
648,112.21
649,112.15
650,112.31
651,112.132
652,112.27
653,112.277
654,112.277
655,112.24
656,112.34
657,112.24
658,112.27
659,112.27
660,112.17
661,112.28
662,112.34
663,112.258
664,112.35
665,112.35
666,112.35
667,112.36
668,112.25
669,112.31
670,112.33
671,112.23
672,112.36
673,112.36
674,112.34
675,112.36
676,112.36
677,112.25
678,112.4
679,112.386
680,112.386
681,112.33
682,112.395
683,112.274
684,112.35
685,112.35
686,112.44
687,112.33
688,112.335
689,112.369
690,112.37
691,112.36
692,112.42
693,112.38
694,112.51
695,112.45
696,112.39
697,112.39
698,112.45
699,112.44
700,112.53
701,112.397
702,112.43
703,112.37
704,112.34
705,112.3
706,112.3
707,112.3
708,112.34
709,112.28
710,112.31
711,112.31
712,112.31
713,112.33
714,112.295
715,112.2
716,112.31
717,112.26
718,112.24
719,112.29
720,112.26
721,112.265
722,112.28
723,112.329
724,112.25
725,112.28
726,112.28
727,112.28
728,112.22
729,112.236
730,112.23
731,112.25
732,112.25
733,112.23
734,112.19
735,112.23
736,112.24
737,112.22
738,112.3
739,112.3
740,112.3
741,112.26
742,112.42
743,112.49
744,112.57
745,112.58
746,112.52
747,112.63
748,112.63
749,112.56
750,112.56
751,112.605
752,112.605
753,112.43
754,112.62
755,112.54
756,112.54
757,112.63
758,112.592
759,112.59
760,112.66
761,112.54
762,112.48
763,112.48
764,112.46
765,112.49
766,112.49
767,112.46
768,112.46
769,112.59
770,112.55
771,112.61
772,112.61
773,112.56
774,112.57
775,112.55
776,112.645
777,112.683
778,112.66
779,112.66
780,112.64
781,112.62
782,112.6
783,112.56
784,112.53
785,112.51
786,112.51
787,112.58
788,112.6
789,112.635
790,112.635
791,112.635
792,112.58
793,112.561
794,112.63
795,112.63
796,112.68
797,112.66
798,112.66
799,112.66
800,112.68
801,112.665
802,112.68
803,112.75
804,112.69
805,112.78
806,112.82
807,112.78
808,112.78
809,112.76
810,112.74
811,112.79
812,112.87
813,112.87
814,112.87
815,112.775
816,112.775
817,112.775
818,112.8
819,112.83
820,112.83
821,112.74
822,112.73
823,112.71
824,112.65
825,112.699
826,112.75
827,112.8
828,112.789
829,112.82
830,112.85
831,112.91
832,112.93
833,113.06
834,112.98
835,112.98
836,112.96
837,113
838,113
839,112.97
840,113.08
841,113.065
842,113.065
843,113.05
844,113.01
845,113.12
846,113.13
847,113.157
848,113.115
849,113.02
850,113.13
851,113.2
852,113.25
853,113.28
854,113.16
855,113.25
856,113.18
857,113.171
858,113.14
859,113.25
860,113.32
861,113.32
862,113.4
863,113.25
864,113.28
865,113.21
866,113.23
867,113.25
868,113.23
869,113.34
870,113.037
871,113.25
872,113.34
873,113.38
874,113.29
875,113.29
876,113.29
877,113.31
878,113.37
879,113.45
880,113.45
881,113.31
882,113.366
883,113.41
884,113.41
885,113.52
886,113.51
887,113.48
888,113.51
889,113.38
890,113.38
891,113.4
892,113.39
893,113.43
894,113.43
895,113.47
896,113.43
897,113.47
898,113.45
899,113.41
900,113.54
901,113.46
902,113.46
903,113.41
904,113.5
905,113.51
906,113.494
907,113.44
908,113.544
909,113.6
910,113.53
911,113.62
912,113.5
913,113.572
914,113.5
915,113.545
916,113.579
917,113.52
918,113.532
919,113.62
920,113.693
921,113.73
922,113.62
923,113.677
924,113.63
925,113.63
926,113.61
927,113.54
928,113.49
929,113.49
930,113.588
931,113.63
932,113.69
933,113.69
934,113.617
935,113.691
936,113.66
937,113.609
938,113.72
939,113.68
940,113.707
941,113.76
942,113.7
943,113.74
944,113.75
945,113.67
946,113.78
947,113.804
948,113.89
949,113.93
950,113.89
951,113.98
952,114.05
953,113.97
954,114.11
955,113.98
956,114.06
957,114.06
958,114.13
959,114.02
960,114.14
961,114.14
962,114.2
963,114.26
964,114.13
965,114.26
966,114.05
967,114.21
968,114.08
969,114.08
970,113.96
971,113.88
972,113.93
973,113.87
974,113.99
975,113.909
976,113.84
977,113.79
978,113.79
979,113.992
980,113.73
981,113.78
982,113.829
983,113.84
984,113.79
985,113.818
986,113.77
987,113.65
988,113.7
989,113.747
990,113.69
991,113.695
992,113.7
993,113.63
994,113.666
995,113.72
996,113.7
997,113.705
998,113.705
999,113.765
1000,113.73
1001,113.76
1002,113.779
1003,113.77
1004,113.809
1005,113.728
1006,113.76
1007,113.69
1008,113.67
1009,113.717
1010,113.56
1011,113.669
1012,113.64
1013,113.62
1014,113.57
1015,113.56
1016,113.545
1017,113.6
1018,113.53
1019,113.659
1020,113.659
1021,113.65
1022,113.76
1023,113.8
1024,113.9
1025,113.93
1026,113.87
1027,113.97
1028,113.9
1029,114.03
1030,113.912
1031,113.92
1032,113.83
1033,113.94
1034,113.915
1035,113.851
1036,113.83
1037,113.929
1038,113.82
1039,113.906
1040,113.855
1041,113.81
1042,113.82
1043,113.91
1044,113.895
1045,113.94
1046,113.98
1047,113.91
1048,113.91
1049,113.99
1050,113.965
1051,113.995
1052,113.8
1053,113.8
1054,113.775
1055,113.72
1056,113.67
1057,113.79
1058,113.879
1059,113.88
1060,113.88
1061,113.867
1062,113.87
1063,113.87
1064,113.903
1065,113.838
1066,113.905
1067,113.85
1068,113.9
1069,113.9
1070,113.88
1071,113.956
1072,113.95
1073,113.96
1074,114.06
1075,113.986
1076,113.94
1077,114.07
1078,114
1079,114
1080,114.11
1081,114.02
1082,113.99
1083,113.96
1084,113.96
1085,114.051
1086,114.099
1087,114.069
1088,114.1
1089,114.12
1090,114.03
1091,114.094
1092,114.05
1093,113.94
1094,114.012
1095,113.88
1096,113.86
1097,113.97
1098,114.03
1099,114.063
1100,114.063
1101,114.063
1102,113.95
1103,114.015
1104,114.06
1105,114.029
1106,114.06
1107,114.14
1108,114.08
1109,114.071
1110,114.17
1111,114.17
1112,114.084
1113,114.04
1114,114.03
1115,114.03
1116,114.09
1117,114.06
1118,114.11
1119,114.18
1120,114.21
1121,114.1
1122,114.15
1123,114.04
1124,113.998
1125,113.97
1126,114.06
1127,114.054
1128,114.01
1129,114.01
1130,113.93
1131,114.04
1132,113.96
1133,114.032
1134,113.942
1135,113.91
1136,114.06
1137,113.99
1138,114.08
1139,114.03
1140,114.02
1141,114.02
1142,114.02
1143,114.02
1144,114.04
1145,114.11
1146,114.111
1147,114.08
1148,114.08
1149,114.2
1150,114.1
1151,114.04
1152,114.019
1153,114.06
1154,114.06
1155,114.01
1156,114.01
1157,114.05
1158,114.15
1159,114.15
1160,114.12
1161,114.13
1162,114.2
1163,114.2
1164,114.19
1165,114.12
1166,114.11
1167,114.15
1168,114.1
1169,114.05
1170,113.98
1171,114.05
1172,114.12
1173,114.17
1174,114.22
1175,114.17
1176,114.17
1177,114.26
1178,114.26
1179,114.27
1180,114.32
1181,114.22
1182,114.269
1183,114.26
1184,114.26
1185,114.26
1186,114.23
1187,114.22
1188,114.15
1189,114.25
1190,114.25
1191,114.17
1192,114.25
1193,114.31
1194,114.34
1195,114.38
1196,114.34
1197,114.36
1198,114.36
1199,114.3
1200,114.39
1201,114.38
1202,114.46
1203,114.39
1204,114.51
1205,114.58
1206,114.52
1207,114.46
1208,114.45
1209,114.37
1210,114.37
1211,114.36
1212,114.34
1213,114.41
1214,114.39
1215,114.5
1216,114.5
1217,114.5
1218,114.38
1219,114.48
1220,114.48
1221,114.45
1222,114.4
1223,114.4
1224,114.36
1225,114.3
1226,114.416
1227,114.416
1228,114.416
1229,114.416
1230,114.416
1231,114.365
1232,114.33
1233,114.21
1234,114.21
1235,114.25
1236,114.18
1237,114.2
1238,114.2
1239,114.245
1240,114.25
1241,114.3
1242,114.3
1243,114.28
1244,114.35
1245,114.35
1246,114.27
1247,114.27
1248,114.25
1249,114.19
1250,114.08
1251,114.14
1252,114.27
1253,114.2
1254,114.2
1255,114.23
1256,114.23
1257,114.225
1258,114.225
1259,114.19
1260,114.12
1261,114.08
1262,114.02
1263,114.11
1264,114.13
1265,114.09
1266,114.03
1267,114.03
1268,114.11
1269,113.99
1270,114.05
1271,114.06
1272,114.08
1273,114.08
1274,114.04
1275,114.11
1276,114.12
1277,114.01
1278,113.99
1279,113.99
1280,114.02
1281,113.97
1282,114
1283,113.96
1284,113.96
1285,114
1286,114.028
1287,114.06
1288,114.06
1289,114.03
1290,114.12
1291,114.169
1292,114.13
1293,114.19
1294,114.13
1295,114.13
1296,114.145
1297,114.16
1298,114.21
1299,114.21
1300,114.21
1301,114.03
1302,114.02
1303,114.08
1304,113.96
1305,113.95
1306,113.94
1307,113.94
1308,114.015
1309,114.02
1310,113.91
1311,114.005
1312,114.075
1313,113.92
1314,113.86
1315,113.94
1316,113.8
1317,113.7
1318,113.79
1319,113.785
1320,113.76
1321,113.73
1322,113.68
1323,113.676
1324,113.676
1325,113.676
1326,113.69
1327,113.69
1328,113.66
1329,113.77
1330,113.69
1331,113.69
1332,113.69
1333,113.69
